iter	Passed	Remaining
936	17691	1189
937	17713	1170
938	17731	1151
939	17748	1132
940	17767	1113
941	17784	1095
942	17802	1076
943	17819	1057
944	17838	1038
945	17855	1019
946	17873	1000
947	17890	981
948	17908	962
949	17926	943
950	17946	924
951	17964	905
952	17983	886
953	18002	868
954	18020	849
955	18038	830
956	18056	811
957	18074	792
958	18092	773
959	18109	754
960	18127	735
961	18144	716
962	18160	697
963	18186	679
964	18206	660
965	18229	641
966	18247	622
967	18264	603
968	18281	584
969	18300	565
970	18317	547
971	18335	528
972	18354	509
973	18371	490
974	18389	471
975	18407	452
976	18424	433
977	18441	414
978	18461	396
979	18478	377
980	18496	358
981	18514	339
982	18532	320
983	18551	301
984	18571	282
985	18589	263
986	18609	245
987	18630	226
988	18650	207
989	18668	188
990	18685	169
991	18703	150
992	18722	131
993	18739	113
994	18757	94
995	18774	75
996	18791	56
997	18809	37
998	18827	18
999	18845	0
